COMPKEY,UNITID,UNITDESC_ASSET,STAIRWAYCONDITION,COMPTYPE,SEGKEY,UNITDESC_SEG,UNITTYPE,INSTALL_DATE,OWNERSHIP,CURRENT_STATUS,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,MAINTAINED_BY,MAINTFINANCIALRESP,STAIRWAYRATING,RAILRATING,RAILCONDITION,INSPECTIONKEY,INSPCOMPDATE,SLIDEPRONE,STAIRWAYTYPE,RAILTYPE,STAIRWAYLENGTH,STAIRWAYWIDTH,NBR_STAIRLANDING,NBR_STAIRRISER,BIKERUNNEL,OVERRIDECOMMENT,EXPBY,ADDDTTM,MODDTTM,CURRENT_STATUS_DATE,ATTACHMENT_1,ATTACHMENT_2,ATTACHMENT_3,ATTACHMENT_4,ATTACHMENT_5,ATTACHMENT_6,ATTACHMENT_7,ATTACHMENT_8,ATTACHMENT_9,NUM_ATTACHMENTS,Shape__Length,OBJECTID
512358,STW-183,SW KENYON ST BETWEEN 14TH AND 15TH WALKWAY,Not Rated,16,339080.000000,SW KENYON ST BETWEEN DEAD END 2 AND 15TH AVE SW,STW,,,INSVC,DISTRICT1,,N,SDOT,,0.000000,0.000000,Not Rated,5594.000000,"10/12/2015, 1:30 AM",,Paved / Non-Paved Walkway,,0,0,0,0,,,,"12/20/2009, 4:00 PM","2/21/2019, 4:00 PM","12/20/2009, 4:00 PM",,,,,,,,,,0.000000,123.71694136026551,47473
513562,STW-221,MONTAVISTA PL W BETWEEN MAGNOLIA BLVD W AND PERKINS LN W,Poor,16,11895.000000,MONTAVISTA PL W BETWEEN MAGNOLIA BLVD W AND CONSTANCE DR W,STW,,Parks,INSVC,DISTRICT7,,N,PARK,,35.000000,47.500000,Poor,13943.000000,"5/10/2021, 5:00 PM",,Concrete Slabs,Timber (Lumber > 5 inches),212,,4,154,,,,"12/20/2009, 4:00 PM","9/13/2021, 5:00 PM","12/20/2009, 4:00 PM",,,,,,,,,,0.000000,144.84696538516448,47474
513592,STW-253B,501 RANDOLPH AVE BETWEEN WELLINGTON AVE AND E JAMES ST,Fair,16,12446.000000,RANDOLPH AVE BETWEEN E JEFFERSON ST AND WELLINGTON AVE,STW,,SDOT,INSVC,DISTRICT3,,N,SDOT,,65.000000,65.000000,Fair,13945.000000,"5/10/2021, 5:00 PM",,RC Reinforced Concrete,Metal Pipe,96,0,4,72,,,,"12/20/2009, 4:00 PM","9/11/2023, 5:00 PM","12/20/2009, 4:00 PM",\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\WM-REF\STW-253B_20200625b.JPG,,,,,,,,,1.000000,18.195488570670452,47475
513763,STW-420,NE 45TH ST BETWEEN 52ND AV NE AND 53RD AV NE,Good,16,16878.000000,NE 45TH ST BETWEEN 51ST E AVE NE AND 52ND W AVE NE,STW,,SDOT,INSVC,DISTRICT4,,N,SDOT,,80.000000,65.000000,Fair,13682.000000,"7/8/2021, 3:33 AM",,RC Reinforced Concrete,Metal Pipe,57,0,2,34,,,,"12/20/2009, 4:00 PM","7/8/2021, 5:00 PM","12/20/2009, 4:00 PM",,,,,,,,,,0.000000,130.56642957974094,47476
512237,STW-052,E BLAINE ST BETWEEN BROADWAY AND 10TH,Fair,16,13839.000000,E BLAINE ST BETWEEN DEAD END 1 AND 10TH AVE E,STW,,SDOT,INSVC,DISTRICT3,,N,SDOT,,75.000000,75.000000,Fair,15974.000000,"8/26/2022, 4:58 AM",,RC Reinforced Concrete,Metal Pipe,109,,1,90,,,,"12/20/2009, 4:00 PM","12/28/2022, 4:00 PM","12/20/2009, 4:00 PM",,,,,,,,,,0.000000,132.6198614459679,47477
512337,STW-159,E HOWE ST BETWEEN BROADWAY AND 10TH,Fair,16,14156.000000,E HOWE ST BETWEEN 10TH AVE E AND FEDERAL AVE E,STW,"12/30/1911, 4:00 PM",SDOT,INSVC,DISTRICT3,,N,SDOT,,75.000000,75.000000,Fair,15978.000000,"8/26/2022, 5:39 AM",,RC Reinforced Concrete,Metal Pipe,140,,5,84,,,,"12/20/2009, 4:00 PM","10/30/2022, 5:00 PM","12/20/2009, 4:00 PM",,,,,,,,,,0.000000,91.20686125422512,47478
512323,STW-143,SW HILL ST BETWEEN 42ND AND CALIFORNIA,Good,16,22324.000000,SW HILL ST BETWEEN DEAD END 4 AND CALIFORNIA AVE SW,STW,,SDOT,INSVC,DISTRICT1,,N,SDOT,,100.000000,100.000000,Good,17721.000000,"7/27/2023, 9:46 AM",,Concrete Slabs,Timber (Lumber > 5 inches),40,,1,33,,,,"12/20/2009, 4:00 PM","11/16/2023, 4:00 PM","12/20/2009, 4:00 PM",,,,,,,,,,0.000000,27.468120689287684,47479
513630,STW-295,UNION ST BETWEEN TERRY AVE AND HUBBELL PL,Not Rated,16,489864.000000,UNION ST OFF RP BETWEEN I5 SB AND UNION ST,STW,"12/30/1941, 4:00 PM",SDOT,INSVC,DISTRICT7,,N,SDOT,,0.000000,0.000000,Not Rated,12574.000000,"9/9/2020, 5:25 AM",,Concrete Slabs,Timber (Lumber > 5 inches),100,0,6,62,,,,"12/20/2009, 4:00 PM","8/21/2023, 5:00 PM","12/20/2009, 4:00 PM",\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\WM-REF\S295-20131030c-On site Inspection.JPG,,,,,,,,,1.000000,99.99980085149691,47480
512205,STW-022,S ANDOVER ST BETWEEN 47TH AVE S AND 48TH AVE S,Fair,16,19355.000000,S ANDOVER ST BETWEEN 47TH AVE S AND DEAD END 1,STW,,SDOT,INSVC,DISTRICT2,,N,SDOT,,76.700000,62.500000,Fair,15614.000000,"5/25/2022, 2:24 AM",,RC Reinforced Concrete,Metal Pipe,77,,4,58,,,,"12/20/2009, 4:00 PM","5/30/2022, 5:00 PM","12/20/2009, 4:00 PM",,,,,,,,,,0.000000,150.01119878551566,47481
513832,STW-483,SW GRAHAM BETWEEN 21ST AV SW AND 18TH AV SW,Good,16,22229.000000,SW GRAHAM ST BETWEEN DEAD END 3 AND 21ST AVE SW,STW,,SDOT,INSVC,DISTRICT1,,N,SDOT,,90.000000,90.000000,Good,18285.000000,"3/25/2024, 5:00 PM",,RC Reinforced Concrete,,57,,3,45,,,,"12/20/2009, 4:00 PM","6/2/2024, 5:00 PM","12/20/2009, 4:00 PM",,,,,,,,,,0.000000,56.999929231815344,47482
512261,STW-078,COMSTOCK ST BETWEEN DEXTER AVE N AND AURORA AVE N,Good,16,9741.000000,COMSTOCK ST BETWEEN 6TH AVE N AND AURORA AVE N,STW,"12/30/2003, 4:00 PM",SDOT,INSVC,DISTRICT7,,N,SDOT,,88.300000,100.000000,Good,15697.000000,"7/11/2022, 8:10 AM",,RC Reinforced Concrete,Metal Pipe,100,,6,85,,,,"12/20/2009, 4:00 PM","7/25/2022, 5:00 PM","12/20/2009, 4:00 PM",,,,,,,,,,0.000000,99.99990399808345,47483
